ID,COORDS_X,COORDS_Y,ROWS,COLUMNS,WIDTH,HEIGHT,LENGTH,GREENHOUSE_PHOTO,CLIEND_ID
1,270.6259261666867,206.56945411550527,8,11,5.36,2.47,2.0,1.jpg,61
2,651.0747750258781,477.07009024515025,10,8,3.59,1.73,2.0,2.jpg,41
3,595.1304553690564,431.27143513661895,5,7,3.19,2.36,2.0,3.jpg,67
4,272.69914820519443,372.45302286088406,8,12,7.05,2.48,2.0,4.jpg,54
5,481.7032209142392,141.893811445016,10,8,7.32,1.57,2.0,5.jpg,48
6,462.61922522728486,228.47442506893785,10,9,3.48,2.01,2.0,6.jpg,74
7,368.3745459306996,312.069443652702,8,5,5.15,2.41,2.0,7.jpg,80
8,373.9245310045741,269.4428356110973,6,10,3.1,2.15,2.0,8.jpg,1
9,634.7771576280129,176.93088636790404,5,8,2.05,2.46,2.0,9.jpg,50
10,686.4396056764826,460.5521879352317,8,15,7.3,2.08,2.0,10.jpg,65
11,335.7648423538236,453.6503266187513,8,13,5.35,1.61,2.0,11.jpg,50
12,315.65966295829065,108.37583349898617,10,8,3.35,2.1,2.0,12.jpg,10
13,478.04786069470674,452.6278629164026,9,12,3.15,1.83,2.0,13.jpg,44
14,639.6183029385859,270.836451980703,5,14,2.59,1.82,2.0,14.jpg,15
15,612.3793077492296,417.5331238682709,10,12,4.6,1.58,2.0,15.jpg,81
16,333.73101608797424,445.8202118260509,9,14,6.17,2.28,2.0,16.jpg,64
17,632.1220018837676,496.35929761022584,6,13,4.67,2.26,2.0,17.jpg,60
18,342.36539372238997,221.2248915632515,8,8,3.14,1.7,2.0,18.jpg,32
19,216.3009825951726,116.68561640775698,10,14,3.16,1.99,2.0,19.jpg,29
20,563.8301226071392,208.3358941821559,5,6,4.91,2.09,2.0,20.jpg,66
21,525.4216818419982,209.72088262878185,5,5,2.1,2.04,2.0,21.jpg,17
22,320.82437796617234,454.43371704426255,9,13,6.38,1.6,2.0,22.jpg,79
23,386.8954031107196,278.5275687075508,9,9,3.28,1.78,2.0,23.jpg,48
24,389.20851373173724,445.89587750162326,10,10,3.01,2.38,2.0,24.jpg,47
25,414.16100660359496,148.07542165965305,9,8,6.42,1.7,2.0,25.jpg,68
26,642.739965334476,309.24585793700203,9,15,7.79,1.51,2.0,26.jpg,55
27,649.2478877089225,209.1829156001046,8,11,6.92,2.02,2.0,27.jpg,51
28,513.0993200582143,113.11913460385932,8,8,7.19,2.27,2.0,28.jpg,13
29,351.8778681615159,450.52808141302694,10,10,4.69,2.07,2.0,29.jpg,15
30,663.960173274283,405.4074512183564,8,8,6.62,2.15,2.0,30.jpg,19
31,551.6080321278528,414.82168499169694,9,5,6.19,1.64,2.0,31.jpg,40
32,608.9930788695035,130.5267440269381,8,9,2.23,1.78,2.0,32.jpg,38
33,221.0191335500759,119.6683402205513,10,15,4.9,2.08,2.0,33.jpg,47
34,406.33370955829355,183.1824351007564,8,13,5.33,2.47,2.0,34.jpg,55
35,389.8759522917628,215.3004412640389,7,7,5.79,1.95,2.0,35.jpg,68
36,246.7422433299376,425.2321307448702,7,14,3.44,1.62,2.0,36.jpg,51
37,419.87470988392135,446.0586327064066,6,9,7.55,2.42,2.0,37.jpg,79
38,437.94361602467995,418.3795445700917,6,12,5.92,1.99,2.0,38.jpg,75
39,645.6997035268238,346.88862988396437,6,6,5.55,2.23,2.0,39.jpg,75
40,490.86638371960623,412.1689405252361,8,11,2.78,1.8,2.0,40.jpg,1
41,313.45524073074034,140.95598270386517,8,6,2.73,2.2,2.0,41.jpg,41
42,486.70958126098327,439.57204534378786,5,9,2.28,1.99,2.0,42.jpg,38
43,232.3826294897932,477.70185689091085,8,14,2.78,2.49,2.0,43.jpg,31
44,283.6779001353999,427.9501074394178,9,7,7.41,1.51,2.0,44.jpg,52
45,346.88618443143736,247.11529593014214,8,8,2.17,2.2,2.0,45.jpg,64
46,341.2544559250652,146.76276202168887,9,5,7.65,2.41,2.0,46.jpg,65
47,417.37826075790673,146.09328340473851,9,10,2.14,1.69,2.0,47.jpg,5
48,640.703173934294,351.30141086277115,10,13,5.27,2.18,2.0,48.jpg,10
49,508.1036934145131,273.17378455341384,6,11,6.95,2.14,2.0,49.jpg,20
50,427.9100278786135,142.53878580807879,9,15,6.07,2.09,2.0,50.jpg,4
51,597.8242997710161,395.67996668073897,5,5,6.31,1.82,2.0,51.jpg,49
52,440.6784727319458,459.61542853232356,8,15,3.38,2.11,2.0,52.jpg,54
53,555.2197214032288,213.50767577945436,9,15,4.55,2.47,2.0,53.jpg,27
54,273.7322347996595,192.6782957697859,8,9,5.67,1.72,2.0,54.jpg,41
55,403.3133545190136,325.862120795395,7,13,6.21,2.12,2.0,55.jpg,76
56,426.414434785219,223.5234086136224,8,6,7.12,2.29,2.0,56.jpg,10
57,533.7650324693898,385.83688306781676,7,7,5.74,2.31,2.0,57.jpg,42
58,552.5521540633899,382.747655540634,10,5,4.09,2.46,2.0,58.jpg,43
59,250.08973271831036,125.36943672667435,8,6,3.06,1.72,2.0,59.jpg,78
60,259.90797988985406,136.89831811331797,6,8,6.27,1.81,2.0,60.jpg,18
61,245.4398339379071,387.05900348953793,8,12,4.84,1.72,2.0,61.jpg,16
62,436.41639663424337,132.65736147703726,7,11,5.96,2.06,2.0,62.jpg,39
63,435.60842223767037,475.5353449391739,7,10,5.25,2.41,2.0,63.jpg,79
64,492.3400944969288,301.5676492533295,7,12,7.31,2.06,2.0,64.jpg,57
65,638.4154019993691,498.5772870041506,7,15,2.51,1.7,2.0,65.jpg,56
66,473.77785095958143,373.0790960874382,7,5,7.41,1.57,2.0,66.jpg,6
67,253.00346206154333,270.3405987298973,9,9,2.76,2.12,2.0,67.jpg,58
68,309.7149770649621,232.82497531607942,9,13,7.21,1.95,2.0,68.jpg,30
69,664.6100649166549,221.59664472910265,5,6,3.85,1.78,2.0,69.jpg,72
70,539.7390710460752,161.40786739531504,6,5,3.93,2.17,2.0,70.jpg,78
71,369.1960242142503,108.29629972621473,7,6,2.29,1.92,2.0,71.jpg,26
72,543.8714748684372,133.13722480900392,6,11,3.32,1.75,2.0,72.jpg,4
73,658.5414843503638,225.6013378687057,5,10,2.26,1.61,2.0,73.jpg,64
74,271.85458145311844,446.26734702914297,9,7,6.93,2.12,2.0,74.jpg,76
75,499.91462797928494,453.17767023804225,5,15,7.02,1.64,2.0,75.jpg,79
76,689.9985501881931,225.73976159849374,9,8,4.35,2.13,2.0,76.jpg,12
77,508.65767799946343,362.2649906610352,8,14,7.26,1.83,2.0,77.jpg,13
78,618.1738158584152,275.15600438272236,8,5,3.83,1.86,2.0,78.jpg,44
79,600.521536819361,254.22467280600216,5,8,5.62,2.17,2.0,79.jpg,63
80,550.8572334260239,220.11635072335176,9,7,2.91,2.22,2.0,80.jpg,58
81,663.2408479137887,493.33897847734113,6,10,5.79,2.02,2.0,81.jpg,40
82,644.7771437576323,165.87820444184428,7,6,5.31,1.82,2.0,82.jpg,78
83,561.5394402645688,370.46345953041754,8,10,6.26,1.71,2.0,83.jpg,50
84,230.3460391183895,158.8856666146608,9,5,4.09,2.33,2.0,84.jpg,35
85,436.6734267110478,300.1270198470725,7,15,6.73,2.47,2.0,85.jpg,10
86,521.4533606348589,278.7254706932705,7,8,3.41,1.82,2.0,86.jpg,18
87,557.7515570093736,499.8795569082208,8,13,4.99,1.63,2.0,87.jpg,48
88,256.410056557227,427.1044078623087,8,5,3.47,1.51,2.0,88.jpg,8
89,687.6563588413219,277.1411211266809,8,10,6.56,2.06,2.0,89.jpg,28
90,374.39966770775146,149.42583127510866,9,15,7.6,1.88,2.0,90.jpg,9
91,271.46546618444347,113.76306077246684,10,13,3.81,1.84,2.0,91.jpg,64
92,386.8344446227876,283.1388266987674,8,11,7.32,1.98,2.0,92.jpg,33
93,604.2772223034874,141.60255049160142,5,5,7.28,2.29,2.0,93.jpg,36
94,577.4980045001721,425.77941500335874,6,10,5.08,1.56,2.0,94.jpg,26
95,325.62172511964206,478.5574097208938,6,9,5.67,1.55,2.0,95.jpg,28
96,647.3814571867422,305.8841615612092,10,5,4.22,1.55,2.0,96.jpg,15
97,282.4865389834582,213.4798303306974,5,5,3.25,2.31,2.0,97.jpg,4
98,385.01092286741664,309.8795686037872,6,15,3.4,2.31,2.0,98.jpg,79
99,447.2466375756278,149.57135017103383,6,5,7.69,2.27,2.0,99.jpg,11
100,663.2384157731017,437.98469899628657,10,9,3.11,2.07,2.0,100.jpg,30
101,393.30371968917643,160.09107619294332,9,12,2.67,2.41,2.0,101.jpg,43
102,518.2994600754535,185.16758471605175,7,11,3.77,1.8,2.0,102.jpg,61
103,599.929664491003,415.3552690455201,9,15,5.32,2.23,2.0,103.jpg,77
104,278.4018490651029,245.98045352669314,5,14,7.67,2.02,2.0,104.jpg,12
105,292.9436081915286,449.0934491335527,8,15,3.55,2.41,2.0,105.jpg,70
106,367.6782527389885,125.57543622342205,10,13,4.64,1.85,2.0,106.jpg,21
107,452.7252113917624,116.58949458647095,10,14,4.1,2.42,2.0,107.jpg,63
108,340.2412280414107,426.38534771621056,9,5,2.87,2.04,2.0,108.jpg,55
109,552.2485021025951,244.0156931919502,5,10,6.63,2.06,2.0,109.jpg,42
110,279.6594821815655,203.59189064440835,8,6,6.65,1.67,2.0,110.jpg,47
111,535.2802567833485,289.1376792751977,9,14,2.71,2.2,2.0,111.jpg,68
112,663.0208943158585,277.092846163809,8,12,7.44,1.83,2.0,112.jpg,24
113,585.4448160486293,461.5962399539484,5,8,6.69,2.1,2.0,113.jpg,54
114,415.2561923693479,474.0652601182265,8,12,3.7,1.92,2.0,114.jpg,68
115,615.5313257553964,338.5234141778467,10,6,7.02,1.58,2.0,115.jpg,27
116,437.5816426621607,220.57818790754754,9,15,6.06,2.45,2.0,116.jpg,3
117,232.90040933152181,330.47808973609256,9,6,2.72,2.23,2.0,117.jpg,45
118,522.0336786734074,176.11028423697968,10,6,2.58,1.94,2.0,118.jpg,78
119,396.4217424769641,318.6105616484883,9,11,5.81,2.42,2.0,119.jpg,55
120,441.8562222614147,239.00492195322175,5,13,2.51,2.24,2.0,120.jpg,60
121,315.52785128909017,380.4995182931421,5,8,3.09,1.91,2.0,121.jpg,47
122,310.1584841655084,467.30913191265273,5,10,3.77,2.06,2.0,122.jpg,61
123,473.1088200948081,198.63109041322207,10,7,5.28,1.74,2.0,123.jpg,18
124,442.1080201875056,161.03458364195473,6,9,3.77,1.97,2.0,124.jpg,25
125,498.0155227206091,299.2486708645048,7,6,2.38,2.31,2.0,125.jpg,81
126,387.95524893603925,472.0679190599023,10,15,4.89,1.77,2.0,126.jpg,46
127,441.3366753375482,265.46864148945394,5,9,7.09,1.75,2.0,127.jpg,53
128,625.5126853111872,105.1991211953157,9,12,5.71,1.96,2.0,128.jpg,14
129,356.13204585648054,314.3111410615095,8,6,3.01,2.28,2.0,129.jpg,71
130,625.2225921925565,447.11156277525856,7,11,4.63,2.17,2.0,130.jpg,53
131,405.0589227267693,193.57005633284064,6,14,5.4,1.8,2.0,131.jpg,14
132,231.94165682146738,234.830495099326,7,12,2.91,2.18,2.0,132.jpg,29
133,304.9621033791513,170.73186221021484,9,13,7.67,2.36,2.0,133.jpg,51
134,442.1248410798695,316.73830824222034,10,8,6.84,1.51,2.0,134.jpg,13
135,201.57591360143988,254.37305407961082,5,13,5.71,2.01,2.0,135.jpg,30
136,419.8215628492061,200.96288232801288,5,10,5.83,2.29,2.0,136.jpg,68
137,452.43408998502605,342.94415161308626,7,6,7.47,2.35,2.0,137.jpg,71
138,533.926256596756,439.92050940837476,5,8,6.27,2.05,2.0,138.jpg,47
139,517.1485660481474,283.4707519469193,9,13,4.44,1.98,2.0,139.jpg,37
140,648.4556662409989,201.55634291392613,5,13,7.53,1.51,2.0,140.jpg,33
141,506.7100810059817,271.30107709270214,10,12,3.92,2.12,2.0,141.jpg,41
142,547.594497339308,232.6336744086245,7,14,5.29,2.05,2.0,142.jpg,48
143,417.0807565307007,195.38580743339872,8,13,5.44,1.79,2.0,143.jpg,35
144,616.2636738016265,326.29015383678836,9,7,7.9,2.15,2.0,144.jpg,72
145,265.7904669401795,448.61774377820774,5,6,7.57,1.9,2.0,145.jpg,50
146,564.6853654287607,259.29677743860105,6,10,6.17,1.95,2.0,146.jpg,74
147,249.44428085279995,377.9394379317871,7,10,7.27,1.54,2.0,147.jpg,34
148,396.83431185727767,390.2896716381752,5,6,2.13,1.93,2.0,148.jpg,56
149,204.80057764245296,141.40509828624843,9,15,5.65,2.28,2.0,149.jpg,35
150,253.56207888768154,137.7220556361384,7,10,7.09,1.73,2.0,150.jpg,36
151,650.7621479250201,284.07625478452786,8,6,4.85,1.92,2.0,151.jpg,31
152,647.7749893973241,367.03652300390877,10,7,3.58,1.83,2.0,152.jpg,45
153,591.1810193114691,188.73842106916868,6,6,6.62,1.87,2.0,153.jpg,34
154,669.4901129840339,312.2519320301518,5,13,4.43,2.2,2.0,154.jpg,40
155,510.6862351072701,335.987985826509,6,7,3.3,2.27,2.0,155.jpg,7
