ID,IP,COORDS_X,COORDS_Y,ROWS,COLUMNS,WIDTH,HEIGHT,LENGTH,GREENHOUSE_PHOTO,CLIENT_ID
1,localhost:2989,335.9201609923895,225.9451429327798,6,12,6.34,2.46,2.0,1.jpg,13
2,localhost:2990,612.5306602586829,451.5588032175223,6,12,7.95,2.07,2.0,2.jpg,18
3,localhost:2991,619.1495826039622,151.07671644819206,6,12,4.26,1.98,2.0,3.jpg,2
4,localhost:2992,408.53258221376797,374.4055929119319,6,12,4.4,1.66,2.0,4.jpg,10
5,localhost:2993,289.48686470109607,118.44577139406942,6,12,5.81,2.47,2.0,5.jpg,18
6,localhost:2994,499.89363046543235,303.1907660285425,6,12,2.15,2.39,2.0,6.jpg,1
7,localhost:2995,388.5022442909471,162.42945631778883,6,12,6.47,2.04,2.0,7.jpg,14
8,localhost:2996,412.240817386638,473.9373091815367,6,12,3.25,2.19,2.0,8.jpg,31
9,localhost:2997,410.2022116823604,469.7046913115629,6,12,5.67,2.16,2.0,9.jpg,27
10,localhost:2998,412.44689313232607,241.79258785612708,6,12,5.45,1.75,2.0,10.jpg,3
11,localhost:2999,690.4750547916891,163.77392392269758,6,12,7.8,2.08,2.0,11.jpg,23
12,localhost:3000,401.67830895317996,190.79660733601173,6,12,4.11,2.36,2.0,12.jpg,29
13,localhost:3001,338.89525827932397,303.2835245758995,6,12,2.92,1.79,2.0,13.jpg,27
14,localhost:3002,223.97608969964583,452.54752314664637,6,12,4.82,1.65,2.0,14.jpg,20
15,localhost:3003,321.127507942678,286.34471677725304,6,12,5.21,2.11,2.0,15.jpg,23
16,localhost:3004,532.9345971202027,367.5984793976117,6,12,2.92,2.47,2.0,16.jpg,27
17,localhost:3005,694.0183324357724,442.5114881237305,6,12,3.23,2.07,2.0,17.jpg,29
18,localhost:3006,628.0681474766964,180.99533470892553,6,12,4.37,2.2,2.0,18.jpg,34
19,localhost:3007,526.1096895453522,406.4487397441646,6,12,6.47,1.99,2.0,19.jpg,24
20,localhost:3008,368.2514373710246,338.0468518624905,6,12,6.74,2.41,2.0,20.jpg,29
21,localhost:3009,424.5529192077355,441.4158858484467,6,12,4.41,1.57,2.0,21.jpg,14
22,localhost:3010,599.0427931981881,383.7792035061903,6,12,5.54,2.3,2.0,22.jpg,22
23,localhost:3011,412.251930545937,333.7104265348635,6,12,2.09,1.71,2.0,23.jpg,16
24,localhost:3012,491.1773729338025,172.28666349981847,6,12,6.02,2.39,2.0,24.jpg,8
25,localhost:3013,480.99205889356284,472.8650311337106,6,12,5.3,1.76,2.0,25.jpg,21
26,localhost:3014,206.3099804162881,288.369933845526,6,12,2.2,2.43,2.0,26.jpg,19
27,localhost:3015,246.17948762022561,306.0331700569104,6,12,7.85,2.37,2.0,27.jpg,18
28,localhost:3016,687.5259926467652,227.22131554561926,6,12,6.77,2.23,2.0,28.jpg,3
29,localhost:3017,418.68771235345696,186.41027508177297,6,12,4.69,1.72,2.0,29.jpg,11
30,localhost:3018,396.2168909901824,315.3295627130766,6,12,6.35,1.89,2.0,30.jpg,25
31,localhost:3019,613.8304451540525,478.7695723530972,6,12,6.55,2.16,2.0,31.jpg,15
32,localhost:3020,530.4722607959602,476.9926977854159,6,12,5.49,2.17,2.0,32.jpg,30
33,localhost:3021,381.14712826633667,304.5069477211458,6,12,5.37,2.41,2.0,33.jpg,12
34,localhost:3022,576.2516574226174,410.20224370979463,6,12,5.12,1.91,2.0,34.jpg,26
35,localhost:3023,425.47034848361966,355.6766612271009,6,12,6.99,1.86,2.0,35.jpg,9
36,localhost:3024,384.75689349704567,488.53287396939766,6,12,6.26,1.65,2.0,36.jpg,26
37,localhost:3025,588.843462048834,126.81584150126585,6,12,5.15,1.54,2.0,37.jpg,33
38,localhost:3026,640.9084814766015,170.7848273816923,6,12,4.3,1.92,2.0,38.jpg,34
39,localhost:3027,683.4483948452825,475.55546323513994,6,12,6.34,1.67,2.0,39.jpg,10
40,localhost:3028,319.3888778006836,348.54812392023564,6,12,2.35,2.07,2.0,40.jpg,28
41,localhost:3029,231.4104727477479,172.760095573949,6,12,5.46,2.15,2.0,41.jpg,15
42,localhost:3030,385.141399050492,237.47721945496744,6,12,4.34,2.0,2.0,42.jpg,6
43,localhost:3031,254.50589963384795,240.3043917562797,6,12,2.98,1.56,2.0,43.jpg,24
44,localhost:3032,474.08073878505706,462.479753299045,6,12,5.04,1.59,2.0,44.jpg,24
45,localhost:3033,629.968428721291,499.64342075478993,6,12,3.0,2.26,2.0,45.jpg,29
46,localhost:3034,205.079382867756,412.81871960914964,6,12,6.68,1.71,2.0,46.jpg,3
47,localhost:3035,650.7876219045859,415.73900357507114,6,12,5.62,2.02,2.0,47.jpg,20
48,localhost:3036,525.7325204735057,443.9530923151471,6,12,5.19,2.27,2.0,48.jpg,13
49,localhost:3037,496.26495194184236,462.1537468482379,6,12,3.21,1.76,2.0,49.jpg,26
50,localhost:3038,328.3417210076756,493.8140372316207,6,12,3.93,2.33,2.0,50.jpg,18
51,localhost:3039,659.4319422749295,242.98824211354466,6,12,3.2,1.55,2.0,51.jpg,23
52,localhost:3040,265.8534675517387,336.6176139040491,6,12,3.01,1.84,2.0,52.jpg,18
53,localhost:3041,527.896003719479,169.05523551500008,6,12,5.6,2.23,2.0,53.jpg,12
54,localhost:3042,321.75774968564497,188.99712961031446,6,12,6.64,2.34,2.0,54.jpg,28
55,localhost:3043,255.01489375750407,368.70976683042414,6,12,2.07,1.93,2.0,55.jpg,34
56,localhost:3044,514.3164566676355,156.38493675387645,6,12,3.42,1.78,2.0,56.jpg,34
57,localhost:3045,570.8372332804316,180.49261415395455,6,12,6.08,2.38,2.0,57.jpg,25
58,localhost:3046,525.5621673398476,372.88086284061694,6,12,6.86,2.11,2.0,58.jpg,33
59,localhost:3047,416.9437700145951,355.56657446483416,6,12,7.26,1.63,2.0,59.jpg,5
60,localhost:3048,670.5538053268058,138.9041717443223,6,12,2.85,2.31,2.0,60.jpg,11
61,localhost:3049,612.9291873153218,260.53406877893264,6,12,6.08,2.3,2.0,61.jpg,31
62,localhost:3050,532.0955787986769,118.12591369383631,6,12,6.4,1.68,2.0,62.jpg,5
63,localhost:3051,213.73143920198427,483.97940498017954,6,12,4.53,1.81,2.0,63.jpg,33
64,localhost:3052,390.5793154925593,385.6673799343585,6,12,6.48,2.28,2.0,64.jpg,26
65,localhost:3053,372.36264605306576,243.80239932622305,6,12,3.14,2.04,2.0,65.jpg,19
66,localhost:3054,212.48252972627566,445.3529022133545,6,12,5.29,2.22,2.0,66.jpg,2
67,localhost:3055,232.98106926056658,415.7482401681635,6,12,2.04,2.27,2.0,67.jpg,15
68,localhost:3056,478.31623833823215,341.8793943559537,6,12,2.97,2.21,2.0,68.jpg,32
69,localhost:3057,477.0555596285282,127.4637697301455,6,12,6.05,1.82,2.0,69.jpg,24
70,localhost:3058,433.91963719761884,185.9831558210053,6,12,5.37,2.23,2.0,70.jpg,26
71,localhost:3059,261.01532726812434,238.81895936125645,6,12,6.0,2.27,2.0,71.jpg,1
72,localhost:3060,668.4156078526437,416.3759539476881,6,12,3.89,2.04,2.0,72.jpg,19
73,localhost:3061,606.8830701625341,409.5421509876309,6,12,7.87,2.34,2.0,73.jpg,25
74,localhost:3062,479.8684594236444,492.22298470636565,6,12,3.49,1.75,2.0,74.jpg,25
75,localhost:3063,508.374585746723,303.78891866520667,6,12,5.33,1.56,2.0,75.jpg,13
76,localhost:3064,266.1834480863543,466.73240396317823,6,12,3.89,1.82,2.0,76.jpg,14
77,localhost:3065,480.56207486179693,162.97642631533836,6,12,5.09,2.23,2.0,77.jpg,9
78,localhost:3066,221.2952091030389,214.50047409190032,6,12,3.68,2.28,2.0,78.jpg,18
79,localhost:3067,311.0569095416387,463.08796140446987,6,12,7.82,1.53,2.0,79.jpg,12
80,localhost:3068,314.8471958934529,239.8702080134981,6,12,2.12,1.63,2.0,80.jpg,16
81,localhost:3069,218.16171842435722,127.43519480098979,6,12,3.52,2.3,2.0,81.jpg,3
82,localhost:3070,404.2478113570993,157.25569081436032,6,12,2.7,1.73,2.0,82.jpg,33
83,localhost:3071,387.7656137355317,327.5746671932743,6,12,4.08,1.71,2.0,83.jpg,33
84,localhost:3072,594.7792549826233,350.1096096231187,6,12,2.23,2.2,2.0,84.jpg,21
85,localhost:3073,373.689895568321,498.58282985259194,6,12,2.65,2.1,2.0,85.jpg,24
86,localhost:3074,453.3863452820011,264.1479688755011,6,12,6.66,2.37,2.0,86.jpg,12
87,localhost:3075,274.68281722844563,245.66061653538105,6,12,2.32,2.36,2.0,87.jpg,8
88,localhost:3076,453.72938834166894,231.84768242518624,6,12,2.53,1.79,2.0,88.jpg,14
89,localhost:3077,688.3819991111013,114.47791535311245,6,12,3.75,2.33,2.0,89.jpg,28
90,localhost:3078,392.76526685725713,139.1478998548448,6,12,4.49,1.79,2.0,90.jpg,18
91,localhost:3079,595.7613133137679,463.9379850866676,6,12,5.3,1.56,2.0,91.jpg,8
92,localhost:3080,216.2346676901059,442.93890248936185,6,12,6.25,1.68,2.0,92.jpg,10
93,localhost:3081,659.8446857199981,147.85878605918836,6,12,3.51,1.91,2.0,93.jpg,23
94,localhost:3082,616.6797678935841,308.40308165196586,6,12,4.99,1.82,2.0,94.jpg,6
95,localhost:3083,544.0214589318264,108.68521687023893,6,12,3.89,2.02,2.0,95.jpg,32
96,localhost:3084,607.7126052917912,218.83061123873364,6,12,6.95,1.63,2.0,96.jpg,2
97,localhost:3085,486.4710926572047,408.7070902384053,6,12,5.91,1.51,2.0,97.jpg,2
98,localhost:3086,285.5602037664139,190.61609882619234,6,12,2.32,2.03,2.0,98.jpg,32
99,localhost:3087,493.87654094444787,114.26188353708912,6,12,5.29,2.26,2.0,99.jpg,7
100,localhost:3088,268.67105681974954,268.8686293774338,6,12,7.35,1.72,2.0,100.jpg,3
101,localhost:3089,470.3215985657879,151.05417298985415,6,12,7.72,1.62,2.0,101.jpg,9
102,localhost:3090,357.34513893825704,207.06991595950063,6,12,3.67,2.1,2.0,102.jpg,8
103,localhost:3091,586.9811639421386,126.8471185419925,6,12,5.67,2.33,2.0,103.jpg,23
104,localhost:3092,625.9907541026728,240.21096044066925,6,12,6.03,2.31,2.0,104.jpg,13
105,localhost:3093,538.3232855859256,120.77153058316013,6,12,5.97,1.86,2.0,105.jpg,6
106,localhost:3094,476.1039140359939,216.13983977610673,6,12,5.88,1.84,2.0,106.jpg,9
107,localhost:3095,617.132243938961,319.42109710173315,6,12,3.52,1.76,2.0,107.jpg,4
108,localhost:3096,541.5736732944599,473.1126912808376,6,12,4.98,2.3,2.0,108.jpg,34
109,localhost:3097,250.67143831537996,253.72692590636862,6,12,4.9,2.41,2.0,109.jpg,10
110,localhost:3098,667.1370480559458,302.4600907217258,6,12,3.79,2.36,2.0,110.jpg,1
111,localhost:3099,257.58672051481693,456.83627552664643,6,12,5.62,1.51,2.0,111.jpg,21
112,localhost:3100,413.3703263513148,100.2565854000665,6,12,2.51,1.58,2.0,112.jpg,4
113,localhost:3101,502.1034340168745,489.3238630819597,6,12,2.65,2.48,2.0,113.jpg,7
